Timestamp,Roll,Pitch,Yaw,GravX,GravY,GravZ,UserAccX,UserAccY,UserAccZ,GyroX,GyroY,GyroZ,TotalAccX,TotalAccY,TotalAccZ,Ground_Truth
1772309644,-0.0103,0.4506,0.0024,-0.0093,-0.4355,-0.9001,-0.0008,-0.0497,-0.0332,-0.8117,-0.7808,0.2797,-0.0101,-0.4852,-0.9333,dws
1772309644,-0.0304,0.4382,0.0116,-0.0276,-0.4243,-0.9051,-0.0063,-0.0449,-0.0494,-0.3877,-0.8623,0.5655,-0.0339,-0.4692,-0.9545,dws
1772309644,-0.0535,0.4329,0.0252,-0.0485,-0.4195,-0.9065,-0.021,-0.0094,-0.0274,-0.1594,-0.8249,0.679,-0.0695,-0.4289,-0.9338,dws
1772309644,-0.074,0.4293,0.0405,-0.0673,-0.4162,-0.9068,-0.0584,0.1121,-0.0422,-0.0695,-0.6162,0.7011,-0.1257,-0.3041,-0.949,dws
1772309644,-0.0938,0.4312,0.0554,-0.0851,-0.418,-0.9045,-0.1792,0.1193,-0.1453,0.4079,-0.8,0.6814,-0.2643,-0.2987,-1.0498,dws
1772309644,-0.1181,0.4388,0.0741,-0.1066,-0.4249,-0.899,-0.1168,0.2868,-0.0773,0.3945,-0.6858,0.803,-0.2234,-0.1381,-0.9762,dws
1772309644,-0.1346,0.4396,0.0893,-0.1214,-0.4256,-0.8967,-0.0589,0.1925,0.0096,-0.1746,-0.4837,0.5741,-0.1803,-0.2331,-0.8871,dws
1772309644,-0.1562,0.4286,0.0993,-0.1415,-0.4156,-0.8985,0.1053,0.0684,-0.0651,-0.7835,-1.2326,0.4964,-0.0363,-0.3472,-0.9635,dws
1772309644,-0.187,0.4079,0.1079,-0.1707,-0.3967,-0.9019,0.0347,0.1218,0.0353,-1.0445,-1.3297,0.641,-0.1359,-0.2748,-0.8666,dws
1772309644,-0.2095,0.3865,0.1155,-0.1926,-0.3769,-0.906,-0.0656,0.0134,0.1049,-0.8532,-0.648,0.4399,-0.2582,-0.3635,-0.8011,dws
1772309644,-0.2236,0.3735,0.1132,-0.2064,-0.3649,-0.9079,0.0417,0.0259,-0.0631,-0.5498,-1.1103,-0.5266,-0.1647,-0.339,-0.971,dws
1772309644,-0.2486,0.3655,0.0908,-0.2298,-0.3574,-0.9052,0.2902,0.1532,-0.1702,-0.8673,-1.8273,-1.1671,0.0604,-0.2042,-1.0755,dws
1772309644,-0.2705,0.3495,0.0623,-0.251,-0.3424,-0.9054,0.033,0.1767,-0.0373,-1.1835,-1.6617,-0.9371,-0.218,-0.1657,-0.9426,dws
1772309644,-0.2787,0.3351,0.0396,-0.2598,-0.3289,-0.9079,0.0735,0.4526,-0.0413,-0.8756,0.2907,-1.0058,-0.1864,0.1237,-0.9492,dws
1772309644,-0.2497,0.3218,0.0111,-0.2345,-0.3162,-0.9193,0.1563,-0.6001,0.0421,-1.1402,1.3197,-0.8837,-0.0782,-0.9164,-0.8771,dws
1772309644,-0.2299,0.3015,0.0013,-0.2176,-0.297,-0.9298,0.4739,-0.7017,-0.0302,-1.2436,0.2166,0.0689,0.2564,-0.9987,-0.96,dws
1772309644,-0.2256,0.2747,0.0019,-0.2153,-0.2713,-0.9381,-0.0973,0.2645,0.1995,-1.325,0.2706,0.5836,-0.3126,-0.0068,-0.7386,dws
1772309644,-0.2266,0.2442,0.0064,-0.218,-0.2417,-0.9455,0.1449,0.2662,0.4559,-1.614,-0.4148,0.5563,-0.0731,0.0244,-0.4896,dws
1772309644,-0.2503,0.209,0.013,-0.2423,-0.2075,-0.9477,0.1435,0.2817,0.5547,-1.521,-1.8877,0.7879,-0.0988,0.0742,-0.3931,dws
1772309644,-0.2988,0.1822,0.0206,-0.2895,-0.1812,-0.9399,0.0992,0.2015,0.5017,-0.7353,-2.6197,0.6904,-0.1904,0.0203,-0.4382,dws
1772309644,-0.3554,0.1732,0.0344,-0.3427,-0.1724,-0.9235,0.1676,0.1863,0.2132,0.019,-2.9884,0.9456,-0.1751,0.0139,-0.7103,dws
1772309644,-0.4215,0.16,0.0529,-0.4039,-0.1594,-0.9008,0.1953,0.3082,0.5319,-0.606,-3.1694,1.2992,-0.2086,0.1489,-0.3689,dws
1772309644,-0.4867,0.1315,0.072,-0.4637,-0.1311,-0.8762,0.1784,0.2692,0.3518,-1.0315,-3.2212,1.6332,-0.2852,0.1381,-0.5244,dws
1772309644,-0.5563,0.0972,0.0936,-0.5255,-0.097,-0.8452,0.1341,0.2462,0.0228,-0.855,-3.496,1.9377,-0.3914,0.1492,-0.8225,dws
