Timestamp,Roll,Pitch,Yaw,GravX,GravY,GravZ,UserAccX,UserAccY,UserAccZ,GyroX,GyroY,GyroZ,TotalAccX,TotalAccY,TotalAccZ,Ground_Truth
1772192504,-0.0367,0.3803,0.0374,-0.0341,-0.3712,-0.9279,0.0012,-0.0337,0.0127,-0.2185,0.0046,0.1935,-0.0329,-0.4049,-0.9153,dws
1772192504,-0.035,0.3767,0.0414,-0.0325,-0.3678,-0.9293,-0.0156,-0.0034,0.0336,-0.1148,0.3068,0.1865,-0.0481,-0.3712,-0.8957,dws
1772192504,-0.029,0.3756,0.0448,-0.027,-0.3668,-0.9299,-0.0618,0.0213,0.0175,0.0094,0.3661,0.1326,-0.0888,-0.3455,-0.9124,dws
1772192504,-0.0233,0.3757,0.0472,-0.0217,-0.367,-0.93,-0.0403,0.0112,0.0435,-0.0212,0.3094,0.1168,-0.062,-0.3557,-0.8865,dws
1772192504,-0.0177,0.3736,0.0516,-0.0165,-0.365,-0.9309,0.0165,-0.0314,0.0754,-0.1924,0.3907,0.3246,0,-0.3964,-0.8555,dws
1772192504,-0.0133,0.3677,0.0613,-0.0124,-0.3595,-0.9331,0.0133,-0.043,0.0688,-0.3997,0.4106,0.5811,0.0008,-0.4024,-0.8642,dws
1772192504,-0.0102,0.3577,0.075,-0.0096,-0.3501,-0.9367,-0.0258,-0.0254,0.0491,-0.5546,0.3953,0.6861,-0.0354,-0.3755,-0.8876,dws
1772192504,-0.0076,0.3478,0.089,-0.0071,-0.3408,-0.9401,-0.076,-0.0196,-0.0798,-0.3782,0.3141,0.6219,-0.0831,-0.3605,-1.0199,dws
1772192504,-0.0088,0.3428,0.1019,-0.0083,-0.3361,-0.9418,-0.0492,-0.0019,-0.1232,-0.1473,0.0122,0.6016,-0.0575,-0.338,-1.065,dws
1772192504,-0.0141,0.3408,0.1153,-0.0133,-0.3342,-0.9424,-0.0239,0.0504,-0.0593,-0.052,-0.1273,0.6836,-0.0371,-0.2839,-1.0017,dws
